"","iiss_platform_abbrev","iiss_platform_name","original"
"1","AA","anti-aircraft",1
"2","AA GUNS",NA,NA
"3","AA/GUNS",NA,NA
"4","AAM","air-to-air missile",1
"5","AAR","air-to-air refuelling or search-and-rescue vessel",1
"6","AAV","amphibious armoured or assault vehicle",1
"7","AB","airborne",1
"8","ABM","anti-ballistic-missile(s)",1
"9","ABU","sea-going buoy tender",1
"10","ABUH","sea-going buoy tender with hangar",1
"11","ACS","crane ship",1
"12","ACV","air cushion vehicle or air cushion vessel or armoured combat vehicle",1
"13","ACV/VCAC",NA,NA
"14","AD","air defence",1
"15","AD arty",NA,NA
"16","ADG",NA,NA
"17","AE","auxiliary, ammunition carrier",1
"18","AE/AMMO",NA,NA
"19","AEF","auxiliary, explosives and stores",1
"20","aegis cruisers and destroyers",NA,NA
"21","AEH",NA,NA
"22","AEM","missile support ship",1
"23","AET",NA,NA
"24","AETL",NA,NA
"25","AEV","armoured engineer vehicle",1
"26","AEW/AWACS",NA,NA
"27","AEWandC",NA,NA
"28","AF","stores ship with RAS capability",1
"29","AFD","auxiliary floating dry dock",1
"30","AFDL","auxiliary floating dry dock small",1
"31","AFH",NA,NA
"32","AFS","logistics ship",1
"33","AFSB","afloat forward staging base",1
"34","AFSH","logistics ship with hangar",1
"35","AFV","armoured fighting vehicle",1
"36","AG","misc auxiliary",1
"37","AGB","icebreaker",1
"38","AGDS",NA,NA
"39","AGE","experimental auxiliary ship",1
"40","AGF","cargo ship",1
"41","AGFH","command ship with hangar",1
"42","AGhs",NA,NA
"43","AGHS","hydrographic survey vessel",1
"44","AGHS (svy)",NA,NA
"45","AGHS/AGOS",NA,NA
"46","AGHS/SVY",NA,NA
"47","AGI","intelligence collection vessel",1
"48","AGI/INT",NA,NA
"49","AGM","air-to-ground missile or missile range instrumentation ship or space tracking vessel",1
"50","AGMS",NA,NA
"51","AGOB",NA,NA
"52","AGOBH",NA,NA
"53","AGOR","oceanographic research vessel",1
"54","AGOR/AGOS",NA,NA
"55","AGOS","ocean surveillance vessel",1
"56","AGP",NA,NA
"57","AGS","survey ship",1
"58","AGSC",NA,NA
"59","AGSH","survey ship with hangar",1
"60","AGSI",NA,NA
"61","AH","hospital ship or attack helicopter",1
"62","AH/MED",NA,NA
"63","AIFV","armoured infantry fighting vehicle",1
"64","AIFV/APC",NA,NA
"65","air defence",NA,NA
"66","AIRBORNE",NA,NA
"67","AIRBORNE RELAY",NA,NA
"68","AK","cargo ship",1
"69","AK/AGF",NA,NA
"70","AKEH","dry cargo and ammunition ship",1
"71","AKL","cargo ship (light)",1
"72","AKR","fast sealift and cargo ship or roll-in roll-off cargo ship",1
"73","AKRH","roll-on roll-off cargo ship with hangar",1
"74","AKSH",NA,NA
"75","AKSL","stores ship (light)",1
"76","ALCM","air-launched cruise missile",1
"77","AMPH",NA,NA
"78","anti-ICBM",NA,NA
"79","ANTI-NARC SPRAYING",NA,NA
"80","anti-SLBM",NA,NA
"81","anti-tank",NA,NA
"82","AO","oiler tanker with RAS capability",1
"83","AOE","auxiliary, fuel and ammunition, RAS capability or fast combat support ship",1
"84","AOL",NA,NA
"85","AOLH",NA,NA
"86","AOR","fleet replenishment oiler with RAS capability",1
"87","AORH","fleet replenishment oiler tanker with RAS capability with hangar",1
"88","AORL","fleet replenishment oiler with RAS capability light",1
"89","AORLH","oiler light with hel deck",1
"90","AOS","oiler small",1
"91","AOT","oiler tanker transport without RAS capability",1
"92","AOTL","oiler transport light",1
"93","AP","armour-piercing or anti-personnel or passenger transport ship",1
"94","APB","barracks ship",1
"95","APC","armoured personnel carrier",1
"96","APC(T)",NA,NA
"97","APC(T)/(W)",NA,NA
"98","APC/RECCE",NA,NA
"99","APT",NA,NA
"100","AR","repair ship",1
"101","AR/C",NA,NA
"102","AR/S",NA,NA
"103","ARC","cable repair ship",1
"104","ARD","repair ship dry dock",1
"105","ARL","airborne reconnaissance, low or repair ship, light",1
"106","ARM","anti-radiation (anti-radar) missile",1
"107","ARMD",NA,NA
"108","armd cars",NA,NA
"109","ARS","rescue and salvage ship",1
"110","ARS/AT",NA,NA
