unit_count,mbt_raw,mbt_new,drop,notes
15,MBT 2000 Al-Khalid,Al-Khalid (MBT 2000),,
13,Type-90-II (MBT-2000),Al-Khalid (MBT 2000),,
38,AMX-13 VTT,AMX-13,1,LT TK
239,AMX-30 EM1,AMX-30,,
17,AMX-30 EM2,AMX-30,,
30,AMX-30B2,AMX-30,,
60,AMX-30G,AMX-30,,
100,AMX-30V,AMX-30,,
5,Ariete,C1 Ariete,,
250,Ben Gurion,Centurion,,
1,Centurion,Centurion,,
55,Centurion Mark 5,Centurion,,
6,Centurion Mk 5,Centurion,,
150,Pz-55,Centurion,,
1,Sov IS-2,Centurion,,
1,Strv-101,Centurion,,
300,Strv-102(Centurion),Centurion,,
150,Tariq (Centurion),Centurion,,
293,Tariq (Centurion) (in store),Centurion,,
1,Tempest (Centurion),Centurion,,
300,Challenger,Challenger 1,,
288,CRl Challenger 1 (Al Hussein),Challenger 1,,
18,CR2 Challenger 2,Challenger 2,,
60,JS-2,IS-2,,
1,JS-3,IS-3,,
1,K1A1,K1,,
1,Leclerc,leclerc,,
330,Leopard,Leopard 1,,
320,Leopard 1 A1,Leopard 1,,
24,Leopard 1 A3,Leopard 1,,
1840,Leopard 1A1,Leopard 1,,
87,Leopard 1A1BE,Leopard 1,,
59,Leopard 1A1NO,Leopard 1,,
594,Leopard 1A2,Leopard 1,,
50,Leopard 1A3,Leopard 1,,
200,Leopard 1A4,Leopard 1,,
731,Leopard 1A5,Leopard 1,,
220,Leopard 1A5BR,Leopard 1,,
111,Leopard 1A5NO,Leopard 1,,
114,Leopard 1C2,Leopard 1,,
32,Leopard A2,Leopard 1,,
114,Leopard C-1,Leopard 1,,
20,Leopard1A5NO,Leopard 1,,
6,Leopard 2 (Px-87 Leo),Leopard 2,,
1,Leopard 2A4,Leopard 2,,
211,Leopard 2A4 (Strv-121),Leopard 2,,
66,Leopard 2A5 (Strv 122),Leopard 2,,
164,Leopard 2A5E,Leopard 2,,
2124,Leopard 2A6,Leopard 2,,
102,Leopard 2A6HEL,Leopard 2,,
20,Leopard 2A6M,Leopard 2,,
96,Leopard 2SG,Leopard 2,,
80,M1A1 Abrahms,M-1 Abrams,,
44,M1A1 Abrams,M-1 Abrams,,
791,M1A1 SA Abrahms,M-1 Abrams,,
14,M1A2 Abrahms,M-1 Abrams,,
1593,M1A2 SEPv2 Abrahms,M-1 Abrams,,
54,NM-116,M-24 Chaffee,1,LT TK 2013 and after
400,M-4,M-4 Sherman,,
60,M-4A3,M-4 Sherman,,
5,M4A3 Sherman,M-4 Sherman,,
250,Sherman,M-4 Sherman,,
