"","country","year","service","subservice","equipment_type","equipment_subtype","equipment_name","equipment_subname","unit_name","unit_count"
"1","cambodia","1971","air force",NA,"helicopters",NA,"ATK",NA,"Mi-4","1"
"2","thailand","1970","navy",NA,"patrol and coastal combatants",NA,"PC",NA,"gunboats","2"
"3","thailand","1970","navy",NA,"patrol and coastal combatants",NA,"PC",NA,"gunboats","2"
"4","cambodia","1971","air force",NA,"helicopters",NA,"ATK",NA,"Mi-4","1"
"5","colombia","1973","air force",NA,"aircraft",NA,"TRG",NA,"T-41D","30"
"6","colombia","1973","air force",NA,"aircraft",NA,"TRG",NA,"T-41D","30"
"7","bulgaria","1977","air force",NA,"aircraft",NA,"FTR",NA,"MiG-21","10"
"8","bulgaria","1977","air force",NA,"aircraft",NA,"FTR",NA,"MiG-21","10"
"9","chile","1977","air force",NA,"aircraft",NA,"TPT",NA,"DHC-6","11"
"10","chile","1977","air force",NA,"aircraft",NA,"TPT",NA,"DHC-6","11"
"11","chile","1978","navy","naval aviation","helicopters",NA,"TPT",NA,"UH-1D","2"
"12","chile","1978","navy","naval aviation","helicopters",NA,"TPT",NA,"UH-1D","2"
"13","czechoslovakia","1978","air force",NA,"aircraft",NA,"FTR",NA,"MiG-21","240"
"14","czechoslovakia","1978","air force",NA,"aircraft",NA,"FTR",NA,"MiG-21","240"
"15","greece","1978","air force",NA,"aircraft",NA,"TRG",NA,"F-5B","8"
"16","greece","1978","air force",NA,"aircraft",NA,"TRG",NA,"F-5B","8"
"17","chile","1979","navy","naval aviation","helicopters",NA,"TPT",NA,"UH-1D","2"
"18","chile","1979","navy","naval aviation","helicopters",NA,"TPT",NA,"UH-1D","2"
"19","central african republic","1981","air force",NA,"aircraft",NA,"TPT",NA,"Falcon 20","1"
"20","chile","1980","navy","naval aviation","helicopters",NA,"TPT",NA,"UH-1D","2"
"21","chile","1980","navy","naval aviation","helicopters",NA,"TPT",NA,"UH-1D","2"
"22","bahrain","1981","paramilitary","police","helicopters",NA,"ATK",NA,"Scout AH-1","2"
"23","bahrain","1981","paramilitary","police","helicopters",NA,"ATK",NA,"Scout AH-1","2"
"24","central african republic","1981","air force",NA,"aircraft",NA,"TPT",NA,"Falcon 20","1"
"25","peru","1981","air force",NA,"aircraft",NA,"TPT",NA,"F-28","1"
"26","peru","1981","air force",NA,"aircraft",NA,"TPT",NA,"F-28","1"
"27","south africa","1981","air force",NA,"helicopters",NA,"UTL",NA,"Alouette III","30"
"28","south africa","1981","air force",NA,"helicopters",NA,"UTL",NA,"Alouette III","30"
"29","taiwan","1982","navy",NA,"patrol and coastal combatants",NA,"FAC(T)",NA,"Japanese-built","2"
"30","us","1982","stratcom","air force","aircraft",NA,"FTR",NA,"F-15","18"
"31","us","1982","stratcom","air force","aircraft",NA,"FTR",NA,"F-15","18"
"32","taiwan","1982","navy",NA,"patrol and coastal combatants",NA,"FAC(T)",NA,"Japanese-built","2"
"33","denmark","1984","air force","tactical air command","aircraft",NA,"RECCE",NA,"RF-35XD","16"
"34","denmark","1984","air force","tactical air command","aircraft",NA,"RECCE",NA,"RF-35XD","16"
"35","mexico","1984","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","1"
"36","mexico","1984","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","1"
"37","italy","1985","air force",NA,"aircraft",NA,"TRG",NA,"MB-326","15"
"38","italy","1985","air force",NA,"aircraft",NA,"TRG",NA,"MB-326","15"
"39","mexico","1985","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","1"
"40","mexico","1985","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","1"
"41","south africa","1986","navy",NA,"mine warfare",NA,"MCMV",NA,"Br Ton","3"
"42","south africa","1986","navy",NA,"mine warfare",NA,"MCMV",NA,"Ton","3"
"43","taiwan","1986","army",NA,"artillery",NA,"TOWED","75mm","M-116 pack","350"
"44","denmark","1986","air force","tactical air command","aircraft",NA,"RECCE",NA,"RF-35XD","16"
"45","denmark","1986","air force","tactical air command","aircraft",NA,"RECCE",NA,"RF-35XD","16"
"46","south africa","1986","navy",NA,"mine warfare",NA,"MCMV",NA,"Br Ton","3"
"47","south africa","1986","navy",NA,"mine warfare",NA,"MCMV",NA,"Ton","3"
"48","us","1986","stratcom","strategic defenses - air defence","aircraft",NA,"FTR",NA,"F-15","18"
"49","us","1986","stratcom","strategic defenses - air defence","aircraft",NA,"FTR",NA,"F-15","18"
"50","taiwan","1986","army",NA,"artillery",NA,"TOWED","75mm","M-116 pack","350"
"51","algeria","1988","air force",NA,"aircraft",NA,"TPT",NA,"Il-18","1"
"52","algeria","1988","air force",NA,"aircraft",NA,"TPT",NA,"Il-18","1"
"53","algeria","1988","air force",NA,"artillery","GUNS","TOWED",NA,"SA-2 Guideline","30"
"54","algeria","1988","air force",NA,"surface-to-surface missile launchers","missiles","SAM",NA,"SA-3 Goa","21"
"55","algeria","1988","paramilitary","gendarmerie","armoured fighting vehicles",NA,"RECCE",NA,"AML-60/100 M-3 Panhard APC (W)","44"
"56","algeria","1988","air force",NA,"artillery","GUNS","TOWED",NA,"SA-2 Guideline","30"
"57","algeria","1988","air force",NA,"surface-to-surface missile launchers","missiles","SAM",NA,"SA-3 Goa","21"
"58","algeria","1988","paramilitary","gendarmerie","armoured fighting vehicles",NA,"RECCE",NA,"AML-60/100 M-3 Panhard APC (W)","44"
"59","bolivia","1988","air force",NA,"aircraft",NA,"TPT",NA,"Cessna 402","1"
"60","bolivia","1988","air force",NA,"aircraft",NA,"TPT",NA,"Cessna 402","1"
"61","oman","1991","royal household","royal flight","aircraft",NA,"TPT","PAX","Gulfstream IV","2"
"62","thailand","1989","navy","naval aviation","helicopters",NA,"UTL",NA,"Bell 212","4"
"63","thailand","1989","navy","naval aviation","helicopters",NA,"UTL",NA,"Bell 212","4"
"64","algeria","1989","air force",NA,"helicopters",NA,"TPT","medium","Mi-6","4"
"65","algeria","1989","air force",NA,"helicopters",NA,"TPT","medium","Mi-6","4"
"66","bolivia","1989","air force",NA,"aircraft",NA,"TPT",NA,"Cessna 402","1"
"67","bolivia","1989","air force",NA,"aircraft",NA,"TPT",NA,"Cessna 402","1"
"68","canada","1989","royal canadian air force",NA,"aircraft",NA,"TPT",NA,"CC/E-144","6"
"69","canada","1989","royal canadian air force",NA,"aircraft",NA,"TPT",NA,"CC/E-144","6"
"70","mexico","1989","air force",NA,"helicopters",NA,"COIN",NA,"Bell 205","5"
"71","mexico","1989","air force",NA,"helicopters",NA,"COIN",NA,"Bell 205","5"
"72","canada","1990","royal canadian air force",NA,"aircraft",NA,"TPT",NA,"CC/E-144","4"
"73","canada","1990","royal canadian air force",NA,"aircraft",NA,"TPT",NA,"CC/E-144","4"
"74","india","1990","navy","naval aviation","aircraft",NA,"TRG",NA,"T-60","2"
"75","india","1990","navy","naval aviation","aircraft",NA,"TRG",NA,"T-60","2"
"76","iraq","1990","army",NA,"helicopters",NA,"TPT","medium","AS-61","5"
"77","iraq","1990","army",NA,"helicopters",NA,"TPT","medium","Mi-4","20"
"78","iraq","1990","army",NA,"helicopters",NA,"TPT","medium","AS-61","5"
"79","iraq","1990","army",NA,"helicopters",NA,"TPT","medium","Mi-4","20"
"80","peru","1990","air force",NA,"aircraft",NA,"FTR",NA,"-DP","2"
"81","peru","1990","air force",NA,"aircraft",NA,"FTR",NA,"-DP","2"
"82","philippines","1991","army",NA,"artillery",NA,"TOWED","105mm","M101/M102/M-26/M-56","230"
"83","philippines","1991","army",NA,"artillery",NA,"TOWED","155mm","M114/M-68","12"
"84","philippines","1991","army",NA,"artillery","MOR",NA,"107mm","M-30","40"
"85","philippines","1991","navy",NA,"patrol and coastal combatants",NA,"PCO",NA,"Rizal","2"
"86","philippines","1991","navy",NA,"patrol and coastal combatants",NA,"PCO",NA,"Miguel Malvar","5"
"87","philippines","1991","navy",NA,"patrol and coastal combatants",NA,"PCO",NA,"Magat Salamat","1"
"88","philippines","1991","navy",NA,"patrol and coastal combatants",NA,"PCC",NA,"Kagitingan","4"
"89","philippines","1991","navy","naval aviation","aircraft",NA,"MR/SAR",NA,"BN-2A Defender","5"
"90","philippines","1991","navy","naval aviation","aircraft",NA,"MR/SAR",NA,"Islander","1"
"91","philippines","1991","navy","naval aviation","helicopters",NA,"SAR",NA,"Bo-105","12"
"92","philippines","1991","navy","marines","armoured fighting vehicles",NA,"AAV",NA,"LVTP-5","30"
"93","philippines","1991","navy","marines","armoured fighting vehicles",NA,"AAV",NA,"LVTP-7","55"
"94","philippines","1991","navy","marines","artillery",NA,"TOWED","105mm","M101","150"
"95","philippines","1991","air force",NA,"aircraft",NA,"FTR",NA,"F-5A/B","9"
"96","philippines","1991","air force",NA,"aircraft",NA,"ATK/RECCE",NA,"T-28D","8"
"97","philippines","1991","air force",NA,"helicopters",NA,"MRH",NA,"Bell UH-1H/M","55"
"98","philippines","1991","air force",NA,"helicopters",NA,"TPT",NA,"AUH-76","16"
"99","philippines","1991","air force",NA,"aircraft",NA,"MR",NA,"F-27M","2"
"100","philippines","1991","air force",NA,"aircraft",NA,"ATK/RECCE",NA,"RT-33A","3"
"101","philippines","1991","air force",NA,"aircraft",NA,"SAR",NA,"UH-16","4"
"102","philippines","1991","air force",NA,"aircraft",NA,"SAR",NA,"Bo-105C","10"
"103","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"F-27","1"
"104","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"F-28","1"
"105","philippines","1991","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","1"
"106","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"S-70A","2"
"107","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"SA-330","2"
"108","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-130H","3"
"109","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"L-100-20","3"
"110","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-47","3"
"111","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"F-27-200","7"
"112","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"BN-2 Islander","10"
"113","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"N-22B Nomal Missionmaster","9"
"114","philippines","1991","air force",NA,"helicopters",NA,"MRH",NA,"Bell 205","15"
"115","philippines","1991","air force",NA,"helicopters",NA,"TPT",NA,"UH-1H","17"
"116","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"Cessna 180","6"
"117","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"Cessna 210","2"
"118","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"Cessna 310","1"
"119","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"DHC-2","5"
"120","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"U-17A/B","15"
"121","philippines","1991","air force",NA,"aircraft",NA,"TRG",NA,"T-33A","5"
"122","philippines","1991","air force",NA,"aircraft",NA,"TRG",NA,"RT-33","3"
"123","philippines","1991","air force",NA,"aircraft",NA,"TRG",NA,"T-41D Mescalero","20"
"124","philippines","1991","air force",NA,"aircraft",NA,"TRG",NA,"SF- 260MP","14"
"125","philippines","1991","air force",NA,"aircraft",NA,"TRG",NA,"SF-260WP","9"
"126","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"MBT",NA,"M48A5","309"
"127","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"LT TK",NA,"M-24 Chaffee (90mm gun)","275"
"128","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"LT TK",NA,"M-41/Type-64","675"
"129","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"APC(T)",NA,"M-2 half-track","40"
"130","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"APC(T)",NA,"M113","650"
"131","taiwan","1991","army",NA,"armoured fighting vehicles",NA,"APC","APC (W)","LAV-150 Commando","300"
"132","taiwan","1991","army",NA,"artillery",NA,"TOWED","105mm","T-64 (M101)","650"
"133","taiwan","1991","army",NA,"artillery",NA,"TOWED","155mm","M-59","90"
