warnum,disno,dyindex,statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,changes_1,changes_2,batdths,durindx
1,89,89.001,220,230,4,7,1823,9,30,1823,1823,1,3,1,3,1,400,600,,,1000,1
1,89,89.001,230,220,4,7,1823,9,30,1823,1823,3,1,3,1,3,600,400,,,1000,1
4,189,189.001,365,640,4,30,1828,8,19,1829,1828,1,3,1,3,1,80000,50000,,,130000,1
4,189,189.001,365,640,4,30,1828,8,19,1829,1829,1,3,1,3,1,80000,50000,,,130000,2
4,189,189.001,640,365,4,30,1828,8,19,1829,1828,3,1,3,1,3,50000,80000,,,130000,2
4,189,189.001,640,365,4,30,1828,8,19,1829,1829,3,1,3,1,3,50000,80000,,,130000,1
7,1552,1552.001,2,70,4,25,1846,9,14,1847,1846,1,3,1,3,1,13283,6000,,,19283,1
7,1552,1552.001,2,70,4,25,1846,9,14,1847,1847,1,3,1,3,1,13283,6000,,,19283,2
7,1552,1552.001,70,2,4,25,1846,9,14,1847,1846,3,1,3,1,3,6000,13283,,,19283,1
7,1552,1552.001,70,2,4,25,1846,9,14,1847,1847,3,1,3,1,3,6000,13283,,,19283,2
10,19,19.001,300,325,4,4,1848,3,23,1849,1848,1,3,3,1,1,3927,3400,7,,7327,2
10,19,19.001,300,325,4,4,1848,3,23,1849,1849,3,1,3,1,1,3927,3400,7,,7327,1
10,19,19.001,325,300,4,4,1848,3,23,1849,1848,1,3,1,3,3,3400,3927,7,,7327,2
10,19,19.001,325,300,4,4,1848,3,23,1849,1849,1,3,1,3,3,3400,3927,7,,7327,1
10,19,19.002,300,332,4,9,1848,7,24,1848,1848,3,2,3,1,1,3927,100,7,,4027,1
10,19,19.002,332,300,4,9,1848,7,24,1848,1848,2,3,1,3,3,100,3927,7,,4027,1
10,19,19.003,300,337,4,9,1848,7,24,1848,1848,3,2,3,1,1,3927,100,7,,4027,1
10,19,19.003,337,300,4,9,1848,7,24,1848,1848,2,3,1,3,3,100,3927,7,,4027,1
13,375,375.003,255,390,4,10,1848,7,10,1849,1848,1,3,1,3,2,2500,3500,,,6000,2
13,375,375.003,255,390,4,10,1848,7,10,1849,1849,1,3,1,3,2,2500,3500,,,6000,1
13,375,375.003,390,255,4,10,1848,7,10,1849,1848,3,1,3,1,2,3500,2500,,,6000,1
13,375,375.003,390,255,4,10,1848,7,10,1849,1849,3,1,3,1,2,3500,2500,,,6000,2
16,175,175.001,220,327,4,30,1849,7,2,1849,1849,1,3,1,3,1,1000,1400,,,2400,1
16,175,175.001,327,220,4,30,1849,7,2,1849,1849,3,1,3,1,3,1400,1000,,,2400,1
16,175,175.002,300,327,5,8,1849,7,2,1849,1849,2,3,1,3,1,100,1400,,,1500,1
16,175,175.002,327,300,5,8,1849,7,2,1849,1849,3,2,3,1,3,1400,100,,,1500,1
16,175,175.003,327,329,5,8,1849,7,2,1849,1849,3,2,3,1,3,1400,100,,,1500,1
16,175,175.003,329,327,5,8,1849,7,2,1849,1849,2,3,1,3,1,100,1400,,,1500,1
19,1528,1528.001,140,160,7,19,1851,2,3,1852,1851,1,3,1,3,1,500,800,,,1300,2
19,1528,1528.001,140,160,7,19,1851,2,3,1852,1852,1,3,1,3,1,500,800,,,1300,1
19,1528,1528.001,160,140,7,19,1851,2,3,1852,1851,3,1,3,1,3,800,500,,,1300,2
19,1528,1528.001,160,140,7,19,1851,2,3,1852,1852,3,1,3,1,3,800,500,,,1300,1
22,57,57.001,200,365,4,21,1854,2,1,1856,1854,2,3,1,3,1,22000,100000,,,122000,1
22,57,57.001,200,365,4,21,1854,2,1,1856,1855,2,3,1,3,1,22000,100000,,,122000,3
22,57,57.001,200,365,4,21,1854,2,1,1856,1856,2,3,1,3,1,22000,100000,,,122000,2
22,57,57.001,365,200,4,21,1854,2,1,1856,1854,3,2,3,1,3,100000,22000,,,122000,1
22,57,57.001,365,200,4,21,1854,2,1,1856,1855,3,2,3,1,3,100000,22000,,,122000,2
22,57,57.001,365,200,4,21,1854,2,1,1856,1856,3,2,3,1,3,100000,22000,,,122000,3
22,57,57.002,220,365,4,21,1854,3,1,1856,1854,2,3,1,3,1,95000,100000,,,195000,1
22,57,57.002,220,365,4,21,1854,3,1,1856,1855,2,3,1,3,1,95000,100000,,,195000,3
22,57,57.002,220,365,4,21,1854,3,1,1856,1856,2,3,1,3,1,95000,100000,,,195000,2
22,57,57.002,365,220,4,21,1854,3,1,1856,1854,3,2,3,1,3,100000,95000,,,195000,1
22,57,57.002,365,220,4,21,1854,3,1,1856,1855,3,2,3,1,3,100000,95000,,,195000,3
22,57,57.002,365,220,4,21,1854,3,1,1856,1856,3,2,3,1,3,100000,95000,,,195000,2
