cowcode	year	country	totton	tonn_prop	Battleship	DieselSub	NukeAttSub	BalSub	AircraftCarrier	region	region_prop	irst	milex	milper	pec	tpop	upop	cinc
2.0	1865	"USA"	141779.0	0.16809034						5.0	0.18484259	845	30471	1063	22658.0	35701	3301	0.1354652
2.0	1866	"USA"	140070.0	0.15806009						5.0	0.18051033	1225	17821	77	26846.0	36538	3452	0.0981717
2.0	1867	"USA"	148982.0	0.15464719						5.0	0.17675403	1326	30698	75	28027.0	37376	3610	0.1141338
2.0	1868	"USA"	134431.0	0.1265015						5.0	0.14654228	1454	20154	66	31646.0	38213	3776	0.1066403
2.0	1869	"USA"	131472.0	0.11280173						5.0	0.13107435	1739	16559	52	35983.0	39051	3949	0.1080056
2.0	1870	"USA"	133852.0	0.107108936						5.0	0.12415089	1692	13128	50	37779.0	39905	4130	0.0989996
2.0	1871	"USA"	133007.0	0.10239034						5.0	0.11878502	1735	11811	42	39546.0	40938	4302	0.098381
2.0	1872	"USA"	134272.0	0.09825411						5.0	0.11383828	2590	14246	42	48479.0	41972	4481	0.1152826
2.0	1873	"USA"	126187.0	0.09055608						5.0	0.10683847	2602	15014	43	53674.0	43006	4667	0.1162688
2.0	1874	"USA"	128133.0	0.087401114						5.0	0.11366722	2439	12899	44	51736.0	44040	4862	0.1142451
2.0	1875	"USA"	107933.0	0.07031283						5.0	0.09771732	2057	11720	38	52194.0	45073	5064	0.1069647
2.0	1876	"USA"	104679.0	0.06505745						5.0	0.09120187	1899	10749	41	51080.0	46107	5275	0.1019168
2.0	1877	"USA"	107376.0	0.06439464						5.0	0.09077056	2100	9074	34	56754.0	47141	5495	0.1046526
2.0	1878	"USA"	98953.0	0.057726514						5.0	0.08338384	2338	11367	36	55588.0	48174	5724	0.1083453
2.0	1879	"USA"	100328.0	0.05663075						5.0	0.082601935	2786	10527	38	67742.0	49208	5962	0.1203331
2.0	1880	"USA"	100328.0	0.055622637						5.0	0.080394134	3896	11414	38	76969.0	50262	6211	0.1254597
2.0	1881	"USA"	100328.0	0.054893967						5.0	0.07934096	4211	11973	38	81416.0	51542	6494	0.1264246
2.0	1882	"USA"	106388.0	0.055678193						5.0	0.07906201	4697	13040	38	91087.0	52821	6789	0.1310108
2.0	1883	"USA"	116825.0	0.05928521						5.0	0.08655209	4669	11425	37	97750.0	54100	7099	0.1313463
2.0	1884	"USA"	103025.0	0.05198507						5.0	0.07909703	4164	11438	39	102689.0	55379	7422	0.1313873
2.0	1885	"USA"	101001.0	0.04822954						5.0	0.076929174	4110	9748	39	103359.0	56658	7761	0.1312613
2.0	1886	"USA"	101001.0	0.047633734						5.0	0.072524235	5774	10382	39	107964.0	57938	8114	0.1461353
2.0	1887	"USA"	101001.0	0.046223763						5.0	0.0703775	6520	10765	39	123077.0	59217	8484	0.1510995
2.0	1888	"USA"	101910.0	0.04601038						5.0	0.069838166	6594	12647	39	139275.0	60496	8871	0.1523269
2.0	1889	"USA"	111798.0	0.04955842						5.0	0.07295369	7726	13195	39	133959.0	61775	9275	0.1548427
2.0	1890	"USA"	117637.0	0.049622443						5.0	0.0808448	9350	14788	39	150826.0	63056	9698	0.1653962
2.0	1891	"USA"	139202.0	0.05447927						5.0	0.083891004	8412	15315	38	162044.0	64361	10075	0.1655897
2.0	1892	"USA"	161446.0	0.0579409						5.0	0.08492599	9304	15654	39	171105.0	65666	10467	0.1733359
2.0	1893	"USA"	205990.0	0.07082279						5.0	0.09824526	7238	16964	39	172586.0	66970	10874	0.1657286
2.0	1894	"USA"	205990.0	0.07008823						5.0	0.09719702	6764	16001	42	161748.0	68275	11298	0.1544223
2.0	1895	"USA"	213108.0	0.0683312						5.0	0.09663868	9598	15187	42	182744.0	69580	11737	0.168099
2.0	1896	"USA"	229766.0	0.06916756						5.0	0.09844079	8762	16382	42	183531.0	70885	12194	0.1600112
2.0	1897	"USA"	227866.0	0.064955324						5.0	0.09864705	9808	30249	44	190740.0	72189	12669	0.16911
2.0	1898	"USA"	288416.0	0.07643095						5.0	0.10915451	11963	60011	236	207271.0	73494	13162	0.1970619
2.0	1899	"USA"	279397.0	0.06986591						5.0	0.10153496	13839	38588	100	236406.0	74799	13674	0.1854763
2.0	1900	"USA"	275272.0	0.066006236						5.0	0.09637411	10352	41481	126	256081.0	76094	14207	0.1879988
2.0	1901	"USA"	328067.0	0.072621986						5.0	0.09990634	13690	36087	112	280242.0	77584	14723	0.2026186
2.0	1902	"USA"	333220.0	0.07134582						5.0	0.097736195	15187	39722	111	300106.0	79163	15258	0.2076682
2.0	1903	"USA"	404494.0	0.081028216						5.0	0.10571885	14768	43814	106	356268.0	80632	15812	0.2105013
2.0	1904	"USA"	586595.0	0.10986946						5.0	0.13295536	14082	47918	110	353388.0	82166	16387	0.2049464
2.0	1905	"USA"	739400.0	0.13367563						5.0	0.15595901	20345	45098	108	397156.0	83822	16982	0.213788
2.0	1906	"USA"	758326.0	0.14160629	1.0	9.0	0.0	0.0	0.0	5.0	0.16431218	23774	43602	112	419190.0	85450	17600	0.2182837
2.0	1907	"USA"	769922.0	0.14003173	1.0	11.0	0.0	0.0	0.0	5.0	0.16181578	23737	58725	108	487862.0	87008	18239	0.227735
2.0	1908	"USA"	786164.0	0.13750057	2.0	11.0	0.0	0.0	0.0	5.0	0.16215684	14248	54189	129	432351.0	88710	18902	0.2031931
2.0	1909	"USA"	851971.0	0.14108412	5.0	17.0	0.0	0.0	0.0	5.0	0.16896623	24339	56177	142	478835.0	90490	19589	0.2251969
2.0	1910	"USA"	872891.0	0.13963827	6.0	18.0	0.0	0.0	0.0	5.0	0.16657327	26512	55880	139	523027.0	92407	20302	0.2264873
2.0	1911	"USA"	920682.0	0.13304329	8.0	22.0	0.0	0.0	0.0	5.0	0.16543426	24056	57157	145	521004.0	93863	21039	0.2162103
2.0	1912	"USA"	982632.0	0.13581657	10.0	27.0	0.0	0.0	1.0	5.0	0.16723001	31753	58992	153	557076.0	95335	21804	0.224931
2.0	1913	"USA"	986812.0	0.12345647	10.0	33.0	0.0	0.0	1.0	5.0	0.16402547	31803	62825	155	600107.0	97225	22596	0.2199163
2.0	1914	"USA"	1045455.0	0.121869065	12.0	39.0	0.0	0.0	1.0	5.0	0.1565794	23890	253205	166	556778.0	99111	23340	0.2063691
2.0	1915	"USA"	1087417.0	0.119965225	14.0	44.0	0.0	0.0	1.0	5.0	0.15281482	32667	257648	174	580731.0	100546	24008	0.2220877
2.0	1916	"USA"	1086032.0	0.11501821	14.0	51.0	0.0	0.0	1.0	5.0	0.14621657	43460	277421	179	646120.0	101961	24688	0.232941
2.0	1917	"USA"	1191806.0	0.12444939	17.0	68.0	0.0	0.0	1.0	5.0	0.15520999	45784	658584	644	710959.0	103268	25310	0.2440332
2.0	1918	"USA"	1340129.0	0.13816194	17.0	101.0	0.0	0.0	1.0	5.0	0.16520227	45176	7014226	2897	743925.0	103208	26020	0.2948764
2.0	1919	"USA"	1553717.0	0.16080807	19.0	125.0	0.0	0.0	1.0	5.0	0.18795408	35228	11217796	1173	648393.0	104514	26723	0.3813615
2.0	1920	"USA"	1640243.0	0.18253423	20.0	129.0	0.0	0.0	1.0	5.0	0.21163334	42809	1657118	343	743808.0	106461	27428	0.2895664
2.0	1921	"USA"	1721021.0	0.20412476	23.0	137.0	0.0	0.0	1.0	5.0	0.23433404	20101	1116342	387	622541.0	108538	28210	0.2532295
2.0	1922	"USA"	1658358.0	0.2223061	23.0	117.0	0.0	0.0	1.0	5.0	0.25644925	36173	860853	270	641311.0	110049	29013	0.2555951
2.0	1923	"USA"	1597648.0	0.2367959	22.0	122.0	0.0	0.0	1.0	5.0	0.2745465	45665	678256	247	834889.0	111947	29840	0.2720777
2.0	1924	"USA"	1362043.0	0.22321416	19.0	124.0	0.0	0.0	1.0	5.0	0.26495504	38540	570142	261	762070.0	114109	30690	0.253591
2.0	1925	"USA"	1365852.0	0.2302074	19.0	120.0	0.0	0.0	3.0	5.0	0.27330652	46122	589706	252	790029.0	115829	31565	0.2540457
2.0	1926	"USA"	1350742.0	0.22814414	19.0	120.0	0.0	0.0	3.0	5.0	0.27133647	49069	558004	247	852304.0	117397	32464	0.2632676
2.0	1927	"USA"	1358747.0	0.22917536	19.0	121.0	0.0	0.0	3.0	5.0	0.2726251	45656	596501	249	842978.0	119035	33389	0.2386266
2.0	1928	"USA"	1326626.0	0.2203902	19.0	121.0	0.0	0.0	3.0	5.0	0.26590222	52371	678100	251	833446.0	120509	34340	0.2400723
2.0	1929	"USA"	1383910.0	0.22470102	19.0	121.0	0.0	0.0	3.0	5.0	0.27310532	57339	701300	255	903141.0	121767	35318	0.2397934
2.0	1930	"USA"	1407196.0	0.22226311	19.0	105.0	0.0	0.0	3.0	5.0	0.2680074	41352	699200	256	814891.0	123188	36326	0.2281101
2.0	1931	"USA"	1359770.0	0.211007	17.0	83.0	0.0	0.0	3.0	5.0	0.25465667	26363	698900	253	709367.0	124149	36360	0.2160157
